iata,name,city,country,lat,lon
MRX,Mahshahr Airport,Bandar Mahshahr,Iran,30.5562,49.1519
MSR,Muş Airport,Mus,Turkey,38.7478,41.6612
MZH,Amasya Merzifon Airport,Merzifon,Turkey,40.8294,35.522
NAV,Nevşehir Kapadokya Airport,Nevsehir,Turkey,38.7719,34.5345
NSH,Noshahr Airport,Noshahr,Iran,36.6633,51.4647
OMH,Urmia Airport,Uromiyeh,Iran,37.6681,45.0687
PFQ,Parsabade Moghan Airport,Parsabad,Iran,39.6036,47.8815
PGU,Persian Gulf International Airport,Khalije Fars,Iran,27.3796,52.7377
RAE,Arar Domestic Airport,Arar,Saudi Arabia,30.9066,41.1382
RAH,Rafha Domestic Airport,Rafha,Saudi Arabia,29.6264,43.4906
RAS,Sardar-e-Jangal Airport,Rasht,Iran,37.3233,49.6178
RMF,Marsa Alam International Airport,Marsa Alam,Egypt,25.5571,34.5837
RUH,King Khaled International Airport,Riyadh,Saudi Arabia,24.9576,46.6988
RZR,Ramsar Airport,Ramsar,Iran,36.9099,50.6796
SAW,Sabiha Gökçen International Airport,Istanbul,Turkey,40.8986,29.3092
SDG,Sanandaj Airport,Sanandaj,Iran,35.2459,47.0092
SDV,Sde Dov Airport,Tel-aviv,Israel,32.1147,34.7822
SHJ,Sharjah International Airport,Sharjah,United Arab Emirates,25.3286,55.5172
SHW,Sharurah Airport,Sharurah,Saudi Arabia,17.4669,47.1214
SLL,Salalah Airport,Salalah,Oman,17.0387,54.0913
SRY,Dasht-e Naz Airport,Dasht-e-naz,Iran,36.6358,53.1936
SSH,Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt,27.9773,34.395
SYZ,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,29.5392,52.5898
TBZ,Tabriz International Airport,Tabriz,Iran,38.1339,46.235
TEQ,Tekirdağ Çorlu Airport,Çorlu,Turkey,41.1382,27.9191
THR,Mehrabad International Airport,Teheran,Iran,35.6892,51.3134
TIF,Ta’if Regional Airport,Taif,Saudi Arabia,21.483,40.5434
TLV,Ben Gurion International Airport,Tel-aviv,Israel,32.0114,34.8867
TUI,Turaif Domestic Airport,Turaif,Saudi Arabia,31.6922,38.7315
TUU,Tabuk Airport,Tabuk,Saudi Arabia,28.3654,36.6189
TZX,Trabzon International Airport,Trabzon,Turkey,40.9951,39.7897
ULH,Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,26.48,38.1289
URY,Gurayat Domestic Airport,Guriat,Saudi Arabia,31.4124,37.2789
VAN,Van Ferit Melen Airport,Van,Turkey,38.4682,43.3323
VAS,Sivas Nuri Demirağ Airport,Sivas,Turkey,39.8138,36.9035
XBJ,Birjand Airport,Birjand,Iran,32.8981,59.2661
XSB,Sir Bani Yas Airport,Sir Bani Yas Island,United Arab Emirates,24.2836,52.5803
YES,Yasouj Airport,Yasuj,Iran,30.7005,51.5451
YNB,Prince Abdulmohsin Bin Abdulaziz Airport,Yenbo,Saudi Arabia,24.1442,38.0634
ZAH,Zahedan International Airport,Zahedan,Iran,29.4757,60.9062
ZBR,Konarak Airport,Chah Bahar,Iran,25.4433,60.3821
