iata,name,city,country,lat,lon
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.2617,55.6092
AAT,Altay Air Base,Altay,China,47.7499,88.0858
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,16.1917,52.175
ABA,Abakan Airport,Abakan,Russia,53.74,91.385
ABD,Abadan Airport,Abadan,Iran,30.3711,48.2283
ABT,Al Baha Airport,El-baha,Saudi Arabia,20.2961,41.6343
ACX,Xingyi Airport,Xingyi,China,25.0864,104.9594
ACZ,Zabol Airport,Zabol,Iran,31.0983,61.5439
ADE,Aden International Airport,Aden,Yemen,12.8295,45.0288
ADU,Ardabil Airport,Ardabil,Iran,38.3257,48.4244
AEB,Baise Youjiang Airport,Baise,China,23.7206,106.96
AFZ,Sabzevar National Airport,Sabzevar,Iran,36.1681,57.5952
AGR,Agra Airport,Agra,India,27.1558,77.9609
AGX,Agatti Airport,Agatti Island,India,10.8237,72.176
AHB,Abha Regional Airport,Abha,Saudi Arabia,18.2404,42.6566
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.7851,40.1
AJL,Lengpui Airport,Aizwal,India,23.8406,92.6197
AKJ,Asahikawa Airport,Asahikawa,Japan,43.6708,142.447
AKU,Aksu Airport,Aksu,China,41.2625,80.2917
AKX,Aktobe Airport,Aktyubinsk,Kazakhstan,50.2458,57.2067
AKY,Sittwe Airport,Sittwe,Burma,20.1327,92.8726
ALA,Almaty Airport,Alma-ata,Kazakhstan,43.3521,77.0405
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0772,72.6347
AMM,Queen Alia International Airport,Amman,Jordan,31.7226,35.9932
AMQ,"Pattimura Airport, Ambon",Ambon,Indonesia,-3.7103,128.089
AOG,Anshan Air Base,Anshan,China,41.1053,122.854
AOJ,Aomori Airport,Aomori,Japan,40.7347,140.691
AOR,Sultan Abdul Halim Airport,Alor Setar,Malaysia,6.1897,100.398
AQG,Anqing Tianzhushan Airport,Anqing,China,30.5822,117.05
AQI,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,28.3352,46.1251
AQJ,Aqaba King Hussein International Airport,Aqaba,Jordan,29.6116,35.0181
ASB,Ashgabat International Airport,Ashkhabad,Turkmenistan,37.9868,58.361
ASJ,Amami Airport,Amami,Japan,28.4306,129.713
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,31.7096,74.7973
AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.433,54.6511
AVA,Anshun Huangguoshu Airport,Anshun,China,26.2606,105.8733
AWZ,Ahwaz Airport,Ahwaz,Iran,31.3374,48.762
AXK,Ataq Airport,Ataq,Yemen,14.5513,46.8262
AXT,Akita Airport,Akita,Japan,39.6156,140.219
AZD,Shahid Sadooghi Airport,Yazd,Iran,31.9049,54.2765
AZI,Bateen Airport,Abu Dhabi,United Arab Emirates,24.4283,54.4581
AZN,Andizhan Airport,Andizhan,Uzbekistan,40.7277,72.294
BAH,Bahrain International Airport,Bahrain,Bahrain,26.2708,50.6336
BAV,Baotou Airport,Baotou,China,40.56,109.997
BBI,Biju Patnaik Airport,Bhubaneswar,India,20.2444,85.8178
BBN,Bario Airport,Bario,Malaysia,3.7339,115.479
BCD,Bacolod-Silay Airport,Bacolod,Philippines,10.7764,123.015
BDH,Bandar Lengeh Airport,Bandar Lengeh,Iran,26.532,54.8248
BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,-3.4424,114.763
BDO,Husein Sastranegara International Airport,Bandung,Indonesia,-6.9006,107.576
BDP,Bhadrapur Airport,Chandragarhi,Nepal,26.5708,88.0796
BDQ,Vadodara Airport,Baroda,India,22.3362,73.2263
BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,2.1555,117.432
BEY,Beirut Rafic Hariri International Airport,Beirut,Lebanon,33.8209,35.4884
BFJ,Bijie Feixiong Airport,Bijie,China,27.2671,105.4721
BFV,Buri Ram Airport,Buri Ram,Thailand,15.2295,103.253
BGW,Baghdad International Airport,Baghdad,Iraq,33.2625,44.2346
BHH,Bisha Airport,Bisha,Saudi Arabia,19.9844,42.6209
BHJ,Bhuj Airport,Bhuj,India,23.2878,69.6702
BHK,Bukhara Airport,Bukhara,Uzbekistan,39.775,64.4833
BHO,Raja Bhoj International Airport,Bhopal,India,23.2875,77.3374
BHR,Bharatpur Airport,Bharatpur,Nepal,27.6781,84.4294
BHU,Bhavnagar Airport,Bhaunagar,India,21.7522,72.1852
BHV,Bahawalpur Airport,Bahawalpur,Pakistan,29.3481,71.718
BHY,Beihai Airport,Beihai,China,21.5394,109.294
BIK,Frans Kaisiepo Airport,Biak,Indonesia,-1.19,136.108
BIR,Biratnagar Airport,Biratnagar,Nepal,26.4815,87.264
BJB,Bojnord Airport,Bojnourd,Iran,37.493,57.3082
BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,5.9372,116.051
BKK,Suvarnabhumi Airport,Bangkok,Thailand,13.6811,100.747
BKM,Bakalalan Airport,Bakalalan,Malaysia,3.974,115.618
BKS,Fatmawati Soekarno Airport,Bengkulu,Indonesia,-3.8637,102.339
BLR,Kempegowda International Airport,Bangalore,India,13.1979,77.7063
BMU,Muhammad Salahuddin Airport,Bima,Indonesia,-8.5396,118.687
BMV,Buon Ma Thuot Airport,Buonmethuot,Vietnam,12.6683,108.12
BND,Bandar Abbas International Airport,Bandar Abbas,Iran,27.2183,56.3778
BOM,Chhatrapati Shivaji International Airport,Mumbai,India,19.0887,72.8679
BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,-1.2683,116.894
BPX,Qamdo Bangda Airport,Bangda,China,30.5536,97.1083
BQS,Ignatyevo Airport,Blagoveschensk,Russia,50.4254,127.412
BSD,Baoshan Yunduan Airport,Baoshan,China,25.0533,99.1683
BSR,Basrah International Airport,Basrah,Iraq,30.5491,47.6621
BTH,Hang Nadim International Airport,Batam,Indonesia,1.121,104.119
BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,5.5229,95.4206
BTK,Bratsk Airport,Bratsk,Russia,56.3706,101.698
BTU,Bintulu Airport,Bintulu,Malaysia,3.1239,113.02
BUS,Batumi International Airport,Batumi,Georgia,41.6103,41.5997
BUZ,Bushehr Airport,Bushehr,Iran,28.9448,50.8346
BWA,Gautam Buddha Airport,Bhairawa,Nepal,27.5057,83.4163
BWN,Brunei International Airport,Bandar Seri Begawan,Brunei,4.9442,114.928
BXB,Babo Airport,Babo,Indonesia,-2.5322,133.439
BXR,Bam Airport,Bam,Iran,29.0842,58.45
BXU,Bancasi Airport,Butuan,Philippines,8.9515,125.4788
BYN,Bayankhongor Airport,Bayankhongor,Mongolia,46.1633,100.704
BZL,Barisal Airport,Barisal,Bangladesh,22.801,90.3012
CAH,Cà Mau Airport,Ca Mau,Vietnam,9.1777,105.1778
CAN,Guangzhou Baiyun International Airport,Guangzhou,China,23.3924,113.299
CBO,Awang Airport,Cotabato,Philippines,7.1652,124.21
CCJ,Calicut International Airport,Calicut,India,11.1368,75.9553
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.6547,88.4467
CEB,Mactan Cebu International Airport,Cebu,Philippines,10.3075,123.979
CEI,Chiang Rai International Airport,Chiang Rai,Thailand,19.9523,99.8829
CEK,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,55.3058,61.5033
CGD,Changde Airport,Changde,China,28.9189,111.64
CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,-6.1256,106.656
CGM,Camiguin Airport,Camiguin,Philippines,9.2535,124.707
CGO,Zhengzhou Xinzheng International Airport,Zhengzhou,China,34.5197,113.841
CGP,Shah Amanat International Airport,Chittagong,Bangladesh,22.2496,91.8133
CGQ,Longjia Airport,Changchun,China,43.9962,125.685
CHG,Chaoyang Airport,Chaoyang,China,41.5381,120.435
CIF,Chifeng Airport,Chifeng,China,42.235,118.908
CIH,Changzhi Airport,Changzhi,China,36.2475,113.126
CIT,Shymkent Airport,Chimkent,Kazakhstan,42.3642,69.4789
CJB,Coimbatore International Airport,Coimbatore,India,11.03,77.0434
CJJ,Cheongju International Airport,Cheongju,South Korea,36.717,127.4987
CJL,Chitral Airport,Chitral,Pakistan,35.8866,71.8006
CJM,Chumphon Airport,Chumphon,Thailand,10.7112,99.3617
CJU,Jeju International Airport,Jeju,South Korea,33.5113,126.493
CKG,Chongqing Jiangbei International Airport,Chongqing,China,29.7192,106.642
CKH,Chokurdakh Airport,Chokurdah,Russia,70.6231,147.902
CMB,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,7.1808,79.8841
CNX,Chiang Mai International Airport,Chiang Mai,Thailand,18.7668,98.9626
COK,Cochin International Airport,Kochi,India,10.152,76.4019
COQ,Choibalsan Airport,Choibalsan,Mongolia,48.1357,114.646
CRK,Diosdado Macapagal International Airport,Angeles City,Philippines,15.186,120.56
CRM,Catarman National Airport,Catarman,Philippines,12.5024,124.636
CSX,Changsha Huanghua International Airport,Changcha,China,28.1892,113.22
CTS,New Chitose Airport,Sapporo,Japan,42.7752,141.692
CTU,Chengdu Shuangliu International Airport,Chengdu,China,30.5785,103.947
CXB,Cox's Bazar Airport,Cox's Bazar,Bangladesh,21.4522,91.9639
CXR,Cam Ranh Airport,Nha Trang,Vietnam,11.9982,109.219
CYP,Calbayog Airport,Calbayog City,Philippines,12.0727,124.545
CYX,Cherskiy Airport,Cherskiy,Russia,68.7406,161.338
CYZ,Cauayan Airport,Cauayan,Philippines,16.9299,121.753
CZX,Changzhou Benniu Airport,Changzhou,China,31.9197,119.779
DAC,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,23.8433,90.3978
DAD,Da Nang International Airport,Danang,Vietnam,16.0439,108.199
DAT,Datong Airport,Datong,China,40.0603,113.482
DAX,Dachuan Airport,Dazhou,China,31.1302,107.4295
DBA,Dalbandin Airport,Dalbandin,Pakistan,28.8783,64.3998
DCY,Daocheng Yading Airport,Daocheng,China,29.3231,100.0533
DDG,Dandong Airport,Dandong,China,40.0247,124.286
DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan,29.961,70.4859
DED,Dehradun Airport,Dehra Dun,India,30.1897,78.1803
DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.1031
DGT,Sibulan Airport,Dumaguete,Philippines,9.3337,123.3
DHI,Dhangarhi Airport,Dhangarhi,Nepal,28.7533,80.5819
DHM,Kangra Airport,Kangra,India,32.1651,76.2634
DIB,Dibrugarh Airport,Mohanbari,India,27.4839,95.0169
DIG,Diqing Airport,Shangri-La,China,27.7936,99.6772
DIL,Presidente Nicolau Lobato International Airport,Dili,East Timor,-8.5464,125.526
DIN,Dien Bien Phu Airport,Dienbienphu,Vietnam,21.3975,103.008
DIU,Diu Airport,Diu,India,20.7131,70.9211
DJB,Sultan Thaha Airport,Jambi,Indonesia,-1.638,103.644
DJJ,Sentani International Airport,Jayapura,Indonesia,-2.577,140.516
DLC,Zhoushuizi Airport,Dalian,China,38.9657,121.539
DLI,Lien Khuong Airport,Dalat,Vietnam,11.75,108.367
DLU,Dali Airport,Dali,China,25.6494,100.319
DLZ,Dalanzadgad Airport,Dalanzadgad,Mongolia,43.5917,104.43
DMB,Taraz Airport,Dzhambul,Kazakhstan,42.8536,71.3036
DMK,Don Mueang International Airport,Bangkok,Thailand,13.9126,100.607
DMM,King Fahd International Airport,Dammam,Saudi Arabia,26.4712,49.7979
DMU,Dimapur Airport,Dimapur,India,25.8839,93.7711
DNH,Dunhuang Airport,Dunhuang,China,40.1611,94.8092
DOY,Dongying Shengli Airport,Dongying,China,37.5086,118.788
DPL,Dipolog Airport,Dipolog,Philippines,8.602,123.3419
DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,-8.7482,115.167
DQA,Saertu Airport,Daqing,China,46.7464,125.1406
DSK,Dera Ismael Khan Airport,Dera Ismael Khan,Pakistan,31.9094,70.8966
DSN,Ordos Ejin Horo Airport,Dongsheng,China,39.49,109.8614
DVO,Francisco Bangoy International Airport,Davao,Philippines,7.1255,125.646
DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,24.8964,55.1614
DXB,Dubai International Airport,Dubai,United Arab Emirates,25.2528,55.3644
DYG,Dayong Airport,Dayong,China,29.1028,110.443
DYR,Ugolny Airport,Anadyr,Russia,64.7349,177.741
